=== RESULTADO DEL ANALISIS LEXICO ===

TOKENS RECONOCIDOS:
Linea 1: APERTURA_PHP -> '<?php'
Linea 6: DEFINE -> 'define'
Linea 6: PAR_IZQ -> '('
Linea 6: CADENA -> '"PI"'
Linea 6: COMA -> ','
Linea 6: FLOTANTE -> '3.1416'
Linea 6: PAR_DER -> ')'
Linea 6: PUNTO_COMA -> ';'
Linea 7: DEFINE -> 'define'
Linea 7: PAR_IZQ -> '('
Linea 7: CADENA -> '"TASA_IVA"'
Linea 7: COMA -> ','
Linea 7: FLOTANTE -> '0.15'
Linea 7: PAR_DER -> ')'
Linea 7: PUNTO_COMA -> ';'
Linea 10: VARIABLE -> '$persona'
Linea 10: ASIGNACION -> '='
Linea 10: COR_IZQ -> '['
Linea 10: CADENA -> '"nombre"'
Linea 10: FLECHA -> '=>'
Linea 10: CADENA -> '"Juan"'
Linea 10: COMA -> ','
Linea 10: CADENA -> '"edad"'
Linea 10: FLECHA -> '=>'
Linea 10: ENTERO -> '30'
Linea 10: COMA -> ','
Linea 10: CADENA -> '"activo"'
Linea 10: FLECHA -> '=>'
Linea 10: BOOLEANO -> 'true'
Linea 10: COR_DER -> ']'
Linea 10: PUNTO_COMA -> ';'
Linea 13: FUNCTION -> 'function'
Linea 13: ID -> 'saludar'
Linea 13: PAR_IZQ -> '('
Linea 13: VARIABLE -> '$nombre'
Linea 13: ASIGNACION -> '='
Linea 13: CADENA -> '"Invitado"'
Linea 13: PAR_DER -> ')'
Linea 13: LLAVE_IZQ -> '{'
Linea 14: ECHO -> 'echo'
Linea 14: CADENA -> '"Hola "'
Linea 14: CONCATENACION -> '.'
Linea 14: VARIABLE -> '$nombre'
Linea 14: PUNTO_COMA -> ';'
Linea 15: LLAVE_DER -> '}'
Linea 18: FUNCTION -> 'function'
Linea 18: ID -> 'calcularTotal'
Linea 18: PAR_IZQ -> '('
Linea 18: VARIABLE -> '$precio'
Linea 18: ASIGNACION -> '='
Linea 18: FLOTANTE -> '0.0'
Linea 18: PAR_DER -> ')'
Linea 18: LLAVE_IZQ -> '{'
Linea 19: VARIABLE -> '$impuesto'
Linea 19: ASIGNACION -> '='
Linea 19: VARIABLE -> '$precio'
Linea 19: MULTIPLICACION -> '*'
Linea 19: FLOTANTE -> '0.15'
Linea 19: PUNTO_COMA -> ';'
Linea 20: RETURN -> 'return'
Linea 20: VARIABLE -> '$precio'
Linea 20: SUMA -> '+'
Linea 20: VARIABLE -> '$impuesto'
Linea 20: PUNTO_COMA -> ';'
Linea 21: LLAVE_DER -> '}'
Linea 24: VARIABLE -> '$opcion'
Linea 24: ASIGNACION -> '='
Linea 24: ENTERO -> '2'
Linea 24: PUNTO_COMA -> ';'
Linea 25: SWITCH -> 'switch'
Linea 25: PAR_IZQ -> '('
Linea 25: VARIABLE -> '$opcion'
Linea 25: PAR_DER -> ')'
Linea 25: LLAVE_IZQ -> '{'
Linea 26: CASE -> 'case'
Linea 26: ENTERO -> '1'
Linea 26: DOS_PUNTOS -> ':'
Linea 27: ECHO -> 'echo'
Linea 27: CADENA -> '"Opcion uno"'
Linea 27: PUNTO_COMA -> ';'
Linea 28: BREAK -> 'break'
Linea 28: PUNTO_COMA -> ';'
Linea 29: CASE -> 'case'
Linea 29: ENTERO -> '2'
Linea 29: DOS_PUNTOS -> ':'
Linea 30: ECHO -> 'echo'
Linea 30: CADENA -> '"Opcion dos"'
Linea 30: PUNTO_COMA -> ';'
Linea 31: BREAK -> 'break'
Linea 31: PUNTO_COMA -> ';'
Linea 32: DEFAULT -> 'default'
Linea 32: DOS_PUNTOS -> ':'
Linea 33: ECHO -> 'echo'
Linea 33: CADENA -> '"Opcion desconocida"'
Linea 33: PUNTO_COMA -> ';'
Linea 34: LLAVE_DER -> '}'
Linea 37: VARIABLE -> '$edad'
Linea 37: ASIGNACION -> '='
Linea 37: ENTERO -> '25'
Linea 37: PUNTO_COMA -> ';'
Linea 38: VARIABLE -> '$esMayor'
Linea 38: ASIGNACION -> '='
Linea 38: VARIABLE -> '$edad'
Linea 38: MAYOR_IGUAL -> '>='
Linea 38: ENTERO -> '18'
Linea 38: PUNTO_COMA -> ';'
Linea 39: VARIABLE -> '$noEsNulo'
Linea 39: ASIGNACION -> '='
Linea 39: VARIABLE -> '$edad'
Linea 39: DESIGUALDAD -> '!='
Linea 39: ENTERO -> '0'
Linea 39: PUNTO_COMA -> ';'
Linea 40: VARIABLE -> '$esExacto'
Linea 40: ASIGNACION -> '='
Linea 40: VARIABLE -> '$opcion'
