=== RESULTADO DEL ANALISIS LEXICO ===

TOKENS RECONOCIDOS:
Linea 1: APERTURA_PHP -> '<?php'
Linea 3: VARIABLE -> '$estado_activo'
Linea 3: ASIGNACION -> '='
Linea 3: BOOLEANO -> 'true'
Linea 3: PUNTO_COMA -> ';'
Linea 4: VARIABLE -> '$capitulos_leidos'
Linea 4: ASIGNACION -> '='
Linea 4: ENTERO -> '450'
Linea 4: PUNTO_COMA -> ';'
Linea 5: VARIABLE -> '$capitulos_totales'
Linea 5: ASIGNACION -> '='
Linea 5: ENTERO -> '1100'
Linea 5: PUNTO_COMA -> ';'
Linea 6: VARIABLE -> '$dias_lectura'
Linea 6: ASIGNACION -> '='
Linea 6: ENTERO -> '15'
Linea 6: PUNTO_COMA -> ';'
Linea 9: VARIABLE -> '$grimorio_tbr'
Linea 9: ASIGNACION -> '='
Linea 9: COR_IZQ -> '['
Linea 9: CADENA -> '"One Piece"'
Linea 9: COMA -> ','
Linea 9: CADENA -> '"Haikyuu"'
Linea 9: COMA -> ','
Linea 9: CADENA -> '"Boku no Hero"'
Linea 9: COR_DER -> ']'
Linea 9: PUNTO_COMA -> ';'
Linea 12: FUNCTION -> 'function'
Linea 12: ID -> 'calcularVelocidad'
Linea 12: PAR_IZQ -> '('
Linea 12: VARIABLE -> '$leidos'
Linea 12: COMA -> ','
Linea 12: VARIABLE -> '$dias'
Linea 12: PAR_DER -> ')'
Linea 12: LLAVE_IZQ -> '{'
Linea 13: VARIABLE -> '$promedio'
Linea 13: ASIGNACION -> '='
Linea 13: VARIABLE -> '$leidos'
Linea 13: DIVISION -> '/'
Linea 13: VARIABLE -> '$dias'
Linea 13: PUNTO_COMA -> ';'
Linea 14: RETURN -> 'return'
Linea 14: VARIABLE -> '$promedio'
Linea 14: PUNTO_COMA -> ';'
Linea 15: LLAVE_DER -> '}'
Linea 18: VARIABLE -> '$velocidad_actual'
Linea 18: ASIGNACION -> '='
Linea 18: ID -> 'calcularVelocidad'
Linea 18: PAR_IZQ -> '('
Linea 18: VARIABLE -> '$capitulos_leidos'
Linea 18: COMA -> ','
Linea 18: VARIABLE -> '$dias_lectura'
Linea 18: PAR_DER -> ')'
Linea 18: PUNTO_COMA -> ';'
Linea 21: IF -> 'if'
Linea 21: PAR_IZQ -> '('
Linea 21: VARIABLE -> '$capitulos_leidos'
Linea 21: IGUALDAD -> '=='
Linea 21: VARIABLE -> '$capitulos_totales'
Linea 21: PAR_DER -> ')'
Linea 21: LLAVE_IZQ -> '{'
Linea 22: ECHO -> 'echo'
Linea 22: CADENA -> '"Lectura finalizada"'
Linea 22: PUNTO_COMA -> ';'
Linea 23: LLAVE_DER -> '}'
Linea 23: ELSE -> 'else'
Linea 23: LLAVE_IZQ -> '{'
Linea 24: IF -> 'if'
Linea 24: PAR_IZQ -> '('
Linea 24: VARIABLE -> '$velocidad_actual'
Linea 24: MAYOR_IGUAL -> '>='
Linea 24: ENTERO -> '20'
Linea 24: AND -> '&&'
Linea 24: VARIABLE -> '$estado_activo'
Linea 24: IGUALDAD -> '=='
Linea 24: BOOLEANO -> 'true'
Linea 24: PAR_DER -> ')'
Linea 24: LLAVE_IZQ -> '{'
Linea 25: ECHO -> 'echo'
Linea 25: CADENA -> '"Buen ritmo de lectura"'
Linea 25: PUNTO_COMA -> ';'
Linea 26: LLAVE_DER -> '}'
Linea 26: ELSE -> 'else'
Linea 26: LLAVE_IZQ -> '{'
Linea 27: ECHO -> 'echo'
Linea 27: CADENA -> '"Debes leer mas rapido"'
Linea 27: PUNTO_COMA -> ';'
Linea 28: LLAVE_DER -> '}'
Linea 29: LLAVE_DER -> '}'
Linea 30: CIERRE_PHP -> '?>'
