=== RESULTADO DEL ANALISIS LEXICO ===

TOKENS RECONOCIDOS:
Linea 1: APERTURA_PHP -> '<?php'
Linea 5: FOREACH -> 'foreach'
Linea 5: PAR_IZQ -> '('
Linea 5: VARIABLE -> '$usuarios'
Linea 5: AS -> 'as'
Linea 5: VARIABLE -> '$usuario'
Linea 5: PAR_DER -> ')'
Linea 5: LLAVE_IZQ -> '{'
Linea 6: ECHO -> 'echo'
Linea 6: VARIABLE -> '$usuario'
Linea 6: PUNTO_COMA -> ';'
Linea 7: LLAVE_DER -> '}'
Linea 11: CLASS -> 'class'
Linea 11: ID -> 'Carro'
Linea 11: LLAVE_IZQ -> '{'
Linea 13: PUBLIC -> 'public'
Linea 13: VARIABLE -> '$marca'
Linea 13: ASIGNACION -> '='
Linea 13: CADENA -> '"Toyota"'
Linea 13: PUNTO_COMA -> ';'
Linea 15: PRIVATE -> 'private'
Linea 15: VARIABLE -> '$modelo'
Linea 15: ASIGNACION -> '='
Linea 15: CADENA -> '"Corolla"'
Linea 15: PUNTO_COMA -> ';'
Linea 17: LLAVE_DER -> '}'
Linea 19: VARIABLE -> '$auto'
Linea 19: ASIGNACION -> '='
Linea 19: NEW -> 'new'
Linea 19: ID -> 'Carro'
Linea 19: PAR_IZQ -> '('
Linea 19: PAR_DER -> ')'
Linea 19: PUNTO_COMA -> ';'
Linea 21: ECHO -> 'echo'
Linea 21: VARIABLE -> '$auto'
Linea 21: OBJETO_OP -> '->'
Linea 21: ID -> 'marca'
Linea 21: PUNTO_COMA -> ';'
Linea 25: VARIABLE -> '$multiplicar'
Linea 25: ASIGNACION -> '='
Linea 25: FUNCTION -> 'function'
Linea 25: PAR_IZQ -> '('
Linea 25: VARIABLE -> '$x'
Linea 25: COMA -> ','
Linea 25: VARIABLE -> '$y'
Linea 25: PAR_DER -> ')'
Linea 25: LLAVE_IZQ -> '{'
Linea 26: RETURN -> 'return'
Linea 26: VARIABLE -> '$x'
Linea 26: MULTIPLICACION -> '*'
Linea 26: VARIABLE -> '$y'
Linea 26: PUNTO_COMA -> ';'
Linea 27: LLAVE_DER -> '}'
Linea 27: PUNTO_COMA -> ';'
Linea 29: STATIC -> 'static'
Linea 29: VARIABLE -> '$contador'
Linea 29: ASIGNACION -> '='
Linea 29: ENTERO -> '0'
Linea 29: PUNTO_COMA -> ';'
Linea 30: VARIABLE -> '$contador'
Linea 30: ASIGNACION -> '='
Linea 30: VARIABLE -> '$contador'
Linea 30: SUMA -> '+'
Linea 30: ENTERO -> '1'
Linea 30: PUNTO_COMA -> ';'
Linea 32: ECHO -> 'echo'
Linea 32: VARIABLE -> '$multiplicar'
Linea 32: PAR_IZQ -> '('
Linea 32: ENTERO -> '3'
Linea 32: COMA -> ','
Linea 32: ENTERO -> '4'
Linea 32: PAR_DER -> ')'
Linea 32: PUNTO_COMA -> ';'
Linea 33: ECHO -> 'echo'
Linea 33: VARIABLE -> '$contador'
Linea 33: PUNTO_COMA -> ';'
Linea 35: CIERRE_PHP -> '?>'
